Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
31st & Long Boulevard UDO,The application proposes a major UDO modification for 3137 Long Boulevard.,Taylor,Conditional,Pupo Walker,"[""G-3"",""31ST Avenue and Long Boulevard Urban Design Overlay (UDO)""]",,"[""RM40""]","[""174""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220210sr.pdf_item_40.pdf,major plan amendment,8,31st and Long UDO_2022-02-10,2022-02-10,"Andrew Heideman, Four Square Design Studio",,"[""048""]",2522,"Andrew Heideman, Four Square Design Studio, applicant; Daryl Walny, Carbine & Associates, LLC, property owner",21,Staff recommends approval of the modification with the condition approved by the UDO Design Review Committee. CONDITIONS: The façade of the Northeast unit should be extended approximately 3 feet (towards the front) to meet the 20 ft front setback/build-to line.,31st and Long UDO,,,,Located within the G-3 subdistrict of the 31st Avenue and Long Boulevard UDO.,"[""3137 Long Boulevard""]"
West Nashville Community Plan,Zone change from R6 to RM15-A for property at 824 Watts Lane; consistent with T3 NE policy.,Roberts,Approve,Tylor,"[""RM15-A""]","[""T3 NE""]","[""R6""]","[""93-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-211209sr.pdf_item_35.pdf,zone change,9,Zone Change 2021Z-128PR-001_2021-12-09,2021-12-09,HR Investments,Suburban Neighborhood Evolving,"[""042"",""044""]",2425,"HR Investments, applicant; Melvin Meadows et ux, owner",20,Staff recommends approval.,Zone Change 2021Z-128PR-001,1.2,18,8,Located 430 feet southeast of Charlotte Pike (1.2 acres),"[""824 Watts Lane""]"
Donelson-Hermitage-Old Hickory Community Plan,Request for concept plan approval to create 12 single-family lots at 901 Allen Road. The plan meets all subdivision regulations and agency requirements. Approval is recommended with conditions.,Syracuse,Conditional,Shepherd,"[""RS10""]","[""T3 NM"",""CO""]","[""RS10""]","[""172""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190613sr.pdf_item_25.pdf,concept plan,4,901 Allen Road_2019-06-13,2019-06-13,Dale and Associates,Suburban Neighborhood Maintenance (T3 NM) and Conservation (CO),"[""193""]",1408,"Dale and Associates, applicant; Matthew Properties, owners",15,Staff recommends approval with conditions.,901 Allen Road,3.88,12,0,"Southwest corner of Allen Road and Colfax Drive, 3.88 acres","[""901 Allen Road"",""Allen Road"",""Colfax Drive""]"
South Nashville Community Plan,The proposal rezones a property to permit a mix of office and multi-family residential units for up to 20 dwelling units per acre.,Colby,Conditional,Buggs,"[""OR20""]","[""T4 NE"",""T4 CM""]","[""R6""]","[""2018CP-011-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181025sr.pdf_item_11.pdf,Zone Change,5,Zone Change 2018Z-099PR-001_2018-10-25,2018-10-25,Josh Hellmer,T4 Urban Neighborhood Evolving (T4 NE) to T4 Urban Mixed Use Corridor (T4 CM),,963,"Josh Hellmer, applicant; Josh Hellmer and Greg Farricielli, owners.",17,"Approve subject to the approval of the associated plan amendment. If the associated plan amendment is not approved, staff recommends disapproval.",Zone Change 2018Z-099PR-001,0.13,3,1,"Located at 49 Wharf Avenue, approximately 300 feet south of Lafayette Street (0.13 acres).","[""49 Wharf Avenue"",""Lafayette Street""]"
,A request to rezone from Agricultural/Residential (AR2a) to Specific Plan - Residential (SP-R) to permit up to 45 multi-family residential units.,Lee,Defer,Hunter,"[""SP-R""]",,"[""AR2a""]","[""120""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180208sr.pdf_item_9.pdf,preliminary sp,6,12452 Old Hickory Boulevard SP_2018-02-08,2018-02-08,"Dale and Associates, applicant; June & Tom Wiggins, owner",,"[""049""]",612,"Dale and Associates, applicant; June & Tom Wiggins, owner",33,"Staff recommends deferral to the February 22, 2018, Planning Commission meeting at the request of the applicant.",12452 Old Hickory Boulevard SP,6.03,45,0,"Approximately 1,200 feet east of Murfreesboro Pike, within the Murfreesboro Pike Urban Design Overlay District.","[""12452 Old Hickory Boulevard""]"
,The request is for a zone change from Commercial Service (CS) and Industrial Restrictive (IR) to Mixed Use General–Alternative (MUG–A) for the specified properties.,Withers,Defer,Buggs,"[""MUG-A""]",,"[""CS"",""IR""]","[""081-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220324sr.pdf_item_10.pdf,zone change,5,None_2022-03-24,2022-03-24,"Dale and Associates, applicant; Terry C. Reeves and W. Lipscomb Davis III, owners.",,"[""241""]",2584,Dale and Associates,6,"Staff recommends deferral to the April 14, 2022, Planning Commission meeting.",,6.82,,,"northeast corner of Crutcher Street and South 5th Street, 6.82 acres","[""501 Crutcher Street"",""515 Crutcher Street""]"
,The request proposes to rezone from Industrial Restrictive (IR) to Specific Plan (SP) for mixed-use development.,O'Connell,Defer,Gentry,"[""SP""]",,"[""IR""]","[""103-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200910sr.pdf_item_0.pdf,concept plan,1,1414 3rd Avenue North_2020-09-10,2020-09-10,Smith Gee Studio LLC,,"[""068""]",2059,"Smith Gee Studio LLC, applicant; FFN1414 LLC, owner",19,"Defer to the September 24, 2020, Planning Commission meeting.",1414 3rd Avenue North,0.95,,,"1414 3rd Avenue North, approximately 100 feet north of Taylor Street, 0.95 acres","[""1414 3rd Avenue North""]"
North Nashville Community Plan,Zone change request from RS5 to RM15-A to accommodate higher density residential development on a 0.22-acre site.,Kindall,Approve,Buggs,"[""RM15-A""]","[""T4 NE""]","[""RS5""]","[""071-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190411sr.pdf_item_11.pdf,zone change,5,2018Z-068PR-001_2019-04-11,2019-04-11,"Catalyst Design Group, applicant; Joseph Bowman and Jere Pewitt, owners.",T4 Urban Neighborhood Evolving (T4 NE),"[""254""]",1249,Catalyst Design Group,21,Staff recommends approval.,2018Z-068PR-001,0.22,3,1,"east side of 26th Avenue North, approximately 160 feet north of Clifton Avenue","[""706 26th Avenue North""]"
Donelson – Hermitage – Old Hickory Community Plan,"Proposal for mixed-use zoning at 304 Old Lebanon Dirt Road, supporting pedestrian, bicycle, and vehicular connectivity, and enhancing suburban neighborhood centers.",Hagar,Approve,Shepherd,"[""MUL-A""]","[""T3 CC"",""CO""]","[""R10""]","[""119-05""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200409sr.pdf_item_30.pdf,zone change,4,Zone Change 2019Z-162PR-001_2020-04-09,2020-04-09,Development Management Group; Larry E. and Patricia K. Hager,"T3 Suburban Community Center (T3 CC), Conservation (CO)","[""210""]",1787,"Development Management Group, applicant; Larry E. and Patricia K. Hager owners",11,Staff recommends approval.,Zone Change 2019Z-162PR-001,6.94,150,32,"southern terminus of Weber Road, at 304 Old Lebanon Dirt Road, 6.94 acres","[""304 Old Lebanon Dirt Road""]"
,Preliminary SP to permit 303 multi-family units at 2nd Avenue North and Van Buren Street.,O'Connell,Defer,Gentry,"[""SP""]",,"[""IR""]","[""070""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220428sr.pdf_item_3.pdf,preliminary sp,1,2nd and Van Buren SP_2022-04-28,2022-04-28,Barge Design Solutions,,"[""041""]",2629,"Barge Design Solutions, Toll Southeast LP Company, Roy Glenn Goodwin",19,"Staff recommends deferral to the May 12, 2022, Planning Commission meeting at the request of the applicant.",2nd and Van Buren SP,2.99,303,,"northwest corner of 1st Ave N and Van Buren Street, 2.99 acres","[""2nd Avenue North"",""1st Avenue North"",""1500 2nd Avenue North"",""100 Van Buren Street""]"
